"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Start Over - Extended","Damian Lazarus, Gorgon City, Leia Contois","25028","4484","194","43","2022-04-15"
"Here For You - BRASS KNUCKLES Remix","Gorgon City, Laura Welsh, Brass Knuckles","42660","2164","133","40","2014-01-01"
"Trapdoor - SOSA Remix","Gorgon City, SOSA","37436","3241","217","36","2020-12-18"
"All Four Walls - Klaves Remix","Gorgon City, Vaults, Klaves","29888","1363","103","34","2016-04-29"
"Knock You Out - Gorgon City Remix","Bingo Players, Gorgon City","144081","2541","104","28","2014-06-17"
"Smile - Walker & Royce Remix","Gorgon City, Elderbrook, Walker & Royce","65114","1908","131","26","2016-10-14"
"Foolproof (LP Giobbi Remix) - Extended","Hayden James, Gorgon City, Nat Dunn, LP Giobbi","4359","1272","87","25","2021-06-25"
"Let It Go - Catz 'N Dogz Remix","Gorgon City, Naations, Catz 'N Dogz","40377","2616","214","24","2018-10-05"
"Ready For Your Love - CLOSE Ready For Your Dub","Gorgon City, MNEK, Will Saul","56692","1311","92","23","2014-01-01"
"Go All Night - Nicky Night Time Remix","Gorgon City, Jennifer Hudson, Nicky Night Time","23039","1045","85","19","2014-12-15"
"Smile - Rude Kid Remix","Gorgon City, Elderbrook, Rude Kid","91673","1710","96","19","2016-10-25"
"Smile - Luca Donzelli & Mar-T Remix","Gorgon City, Elderbrook, Luca Donzelli, Mar-T","48931","1084","78","13","2016-10-07"
"Here For You - Joel Compass Remix","Gorgon City, Laura Welsh, Joel Compass","45363","818","50","11","2014-01-01"
"First Day - Gorgon City Remix","Walden, Gorgon City","17017","480","22","6","2013-10-22"
"Here For You - PILO Remix","Gorgon City, Laura Welsh","18220","276","15","2","2014-01-01"
"Unmissable","Gorgon City, Zak Abel, Haugli","7128","23","5","1","2015-01-26"
"Real - Radio Edit","Gorgon City, Yasmin","2978338","1","0","0","2014-01-01"
"Go Slow","Gorgon City, Kaskade, Romeo, Roméo","22015989","0","0","0","2019-05-10"
"Cosmic Kiss","Pax, Gorgon City","571194","1060","0","0","2021-08-06"
"Energy - Gorgon City Extended Remix","Digga D, Gorgon City","2805","1340","1","0","2023-05-05"
"Where You Are - GRiZ Remix","John Summit, Hayla, GRiZ, Gorgon City","3931749","562943","0","0","2023-06-02"
